DoT,Process,Material,Material ID,Weld ID,"Power 
(W)","Beam 
Diameter 
(mm)","Travel 
Speed
(mm/sec)","Weld 
Depth
(mm)","Weld Toe 
Width
(mm)","X-Sec
FZ Area
(mm2)","Aspect Ratio  
(D/W)"
8-Mar-19,LBW,304,M1P2C1,A,400,0.5,25,0.2305,0.697,0.122,0.33
8-Mar-19,LBW,304,M1P2C1,B,600,0.5,25,0.32,0.87,0.2115,0.37
8-Mar-19,LBW,304,M1P2C1,C,600,0.5,25,0.2845,0.868,0.177,0.33
8-Mar-19,LBW,304,M1P2C1,D,1000,0.5,25,1.5975,1.455,1.61,1.10
8-Mar-19,LBW,304,M1P2C1,E,1200,0.5,25,2.072,1.695,1.935,1.22
8-Mar-19,LBW,304,M1P2C1,F,1400,0.5,25,2.325,1.82,2.355,1.28
8-Mar-19,LBW,304,M1P2C1,G,1600,0.5,25,2.605,1.955,2.685,1.33
8-Mar-19,LBW,304,M1P2C1,H,1800,0.5,25,2.93,2.02,3.185,1.45
8-Mar-19,LBW,304,M1P2C1,I,2000,0.5,25,3.245,2.12,3.655,1.53
8-Mar-19,LBW,304,M1P2C1,J,2200,0.5,25,3.36,2.345,4.09,1.43
8-Mar-19,LBW,304,M1P2C2,A,1400,0.5,10,2.97,2.63,5.18,1.13
8-Mar-19,LBW,304,M1P2C2,B,1400,0.5,15,2.635,2.515,3.78,1.05
8-Mar-19,LBW,304,M1P2C2,C,1400,0.5,15,2.66,2.42,3.61,1.10
8-Mar-19,LBW,304,M1P2C2,D,1400,0.5,20,2.37,2.07,2.605,1.14
8-Mar-19,LBW,304,M1P2C2,E,1400,0.5,40,1.78,1.465,1.405,1.22
8-Mar-19,LBW,304,M1P2C2,F,1400,0.5,50,1.26,1.41,1.0005,0.89
8-Mar-19,LBW,304,M1P2C2,G,1400,0.5,75,0.852,1.235,0.692,0.69
8-Mar-19,LBW,304,M1P2C2,H,1400,0.5,100,0.5235,0.9645,0.353,0.54
8-Mar-19,LBW,304,M1P2C2,I,1400,0.5,125,0.53,0.906,0.3245,0.58
8-Mar-19,LBW,304,M1P2C2,J,1400,0.5,150,0.3905,0.729,0.2,0.54
8-Mar-19,LBW,304,M1P2C3,A,4000,0.5,100,3.185,1.13,2.16,2.82
8-Mar-19,LBW,304,M1P2C3,B,2000,0.5,50,2.52,1.525,1.96,1.65
8-Mar-19,LBW,304,M1P2C3,C,1333,0.5,33,2.105,1.51,1.755,1.39
8-Mar-19,LBW,304,M1P2C3,D,1000,0.5,25,1.775,1.575,1.605,1.13
8-Mar-19,LBW,304,M1P2C3,E,800,0.5,20,1.53,1.67,1.535,0.92
8-Mar-19,LBW,304,M1P2C3,F,667,0.5,17,1.23,1.635,1.295,0.75
8-Mar-19,LBW,304,M1P2C3,G,571,0.5,14,0.4045,0.972,0.3155,0.42
8-Mar-19,LBW,304,M1P2C3,H,500,0.5,13,0.3825,0.9615,0.285,0.40
8-Mar-19,LBW,304,M1P2C3,I,444,0.5,11,0.3555,0.9435,0.249,0.38
8-Mar-19,LBW,304,M1P2C3,J,400,0.5,10,0.3565,0.9345,0.259,0.38
8-Mar-19,LBW,304,M1P2C4,A,2000,0.5,33,2.945,1.875,2.74,1.57
8-Mar-19,LBW,304,M1P2C4,B,1500,0.5,25,2.515,1.92,2.5,1.31
8-Mar-19,LBW,304,M1P2C4,C,1200,0.5,20,2.26,1.9,2.42,1.19
8-Mar-19,LBW,304,M1P2C4,D,1000,0.5,17,1.99,2.035,2.305,0.98
8-Mar-19,LBW,304,M1P2C4,E,860,0.5,14,1.735,2.04,2.08,0.85
8-Mar-19,LBW,304,M1P2C4,F,750,0.5,13,1.565,1.965,1.98,0.80
8-Mar-19,LBW,304,M1P2C4,G,670,0.5,11,1.375,1.935,1.785,0.71
