"Power 
(W)","Travel 
Speed
(mm/sec)","Weld 
Depth
(mm)"
400.0,25.0,0.2305
600.0,25.0,0.32
600.0,25.0,0.2845
1000.0,25.0,1.5975
1200.0,25.0,2.072
1400.0,25.0,2.325
1600.0,25.0,2.605
1800.0,25.0,2.93
2000.0,25.0,3.245
2200.0,25.0,3.36
1400.0,10.0,2.97
1400.0,15.0,2.635
1400.0,15.0,2.66
1400.0,20.0,2.37
1400.0,40.0,1.78
1400.0,50.0,1.26
1400.0,75.0,0.852
1400.0,100.0,0.5235
1400.0,125.0,0.53
1400.0,150.0,0.3905
4000.0,100.0,3.185
2000.0,50.0,2.52
1333.0,33.0,2.105
1000.0,25.0,1.775
800.0,20.0,1.53
667.0,17.0,1.23
571.0,14.0,0.4045
500.0,13.0,0.3825
444.0,11.0,0.3555
400.0,10.0,0.3565
2000.0,33.0,2.945
1500.0,25.0,2.515
1200.0,20.0,2.26
1000.0,17.0,1.99
860.0,14.0,1.735
750.0,13.0,1.565
670.0,11.0,1.375
600.0,10.0,1.0715
545.0,9.0,0.4395
500.0,8.0,0.4045
1000.0,8.3,2.34
860.0,7.1,2.065
750.0,6.3,1.805
670.0,5.6,1.595
600.0,5.0,0.964
545.0,4.5,0.467
500.0,4.2,0.451
460.0,3.8,0.41
430.0,3.6,0.396
400.0,3.3,0.4215
800.0,25.0,1.293
900.0,25.0,1.547
700.0,50.0,0.476
800.0,50.0,0.736
1000.0,50.0,1.193
1200.0,50.0,1.5
1400.0,50.0,1.81
1600.0,50.0,2.06
1800.0,50.0,2.349
700.0,50.0,0.234
800.0,50.0,0.788
1020.0,50.0,1.213
1200.0,50.0,1.513
1400.0,50.0,1.828
1600.0,50.0,2.065
1800.0,50.0,2.336
2010.0,50.0,2.569
800.0,75.0,0.241
1000.0,75.0,0.763
1200.0,75.0,0.866
1400.0,75.0,0.962
1600.0,75.0,1.135
1800.0,75.0,1.437
2000.0,75.0,1.874
2200.0,75.0,2.163
1000.0,100.0,0.491
1200.0,100.0,0.568
1400.0,100.0,0.643
1600.0,100.0,0.795
1800.0,100.0,0.94
2000.0,100.0,1.096
2200.0,100.0,1.363
2400.0,100.0,1.555
1000.0,125.0,0.359
1200.0,125.0,0.435
1400.0,125.0,0.53
1600.0,125.0,0.628
1800.0,125.0,0.745
2000.0,125.0,0.892
2200.0,125.0,0.982
2400.0,125.0,1.079
700.0,100.0,0.179
800.0,100.0,0.209
900.0,100.0,0.363
700.0,125.0,0.154
800.0,125.0,0.193
900.0,125.0,0.197
900.0,50.0,1.079
900.0,75.0,0.62
700.0,112.5,0.16649999999999998
750.0,112.5,0.186
850.0,125.0,0.195
850.0,112.5,0.203
600.0,62.5,0.21975
550.0,37.5,0.23225
750.0,62.5,0.2375
700.0,50.0,0.26275
600.0,25.0,0.30225
522.0,18.0,0.33775
422.0,10.5,0.356
700.0,67.5,0.35775
950.0,112.5,0.361
700.0,56.5,0.37275
950.0,81.5,0.3865
915.0,76.8,0.39325
465.0,5.8,0.40025
535.5,11.0,0.4045
515.5,8.9,0.40725
430.0,3.55,0.41574999999999995
800.0,64.15,0.42825
872.5,67.0,0.43725
522.5,6.6,0.44525000000000003
522.5,4.35,0.459
622.5,27.25,0.47150000000000003
850.0,75.0,0.4835
1200.0,100.0,0.50725
1400.0,112.5,0.52675
1400.0,125.0,0.53
1300.0,112.5,0.5489999999999999
1050.0,87.5,0.594
1250.0,100.0,0.624
1500.0,112.5,0.6355
1100.0,75.0,0.6895
1300.0,87.5,0.7404999999999999
1400.0,100.0,0.754
900.0,62.5,0.7755000000000001
1200.0,75.0,0.7915000000000001
1500.0,87.5,0.8235
1300.0,75.0,0.859
1600.0,100.0,0.879
1900.0,112.5,0.9159999999999999
1600.0,87.5,0.951
1000.0,40.0,0.963
1400.0,65.0,0.973
1400.0,67.5,1.0267499999999998
750.0,30.0,1.07525
1650.0,87.5,1.079
2200.0,112.5,1.0875
1800.0,87.5,1.1155
1300.0,62.5,1.1640000000000001
1010.0,50.0,1.203
843.5,33.5,1.2215
1033.5,33.5,1.245
1100.0,37.5,1.2765
1500.0,62.5,1.3279999999999998
1435.0,55.5,1.369
1235.0,43.0,1.4060000000000001
1500.0,62.5,1.4685000000000001
1200.0,50.0,1.5065
1000.0,35.0,1.5215
850.0,22.5,1.5385
1650.0,62.5,1.551
1575.0,56.5,1.56
710.0,9.3,1.58
835.0,15.3,1.59625
930.0,19.5,1.66625
930.0,19.5,1.755
1200.0,32.5,1.7774999999999999
1075.0,23.15,1.7925
1075.0,28.15,1.8075
1400.0,50.0,1.819
1700.0,62.5,1.851
1500.0,46.0,1.932
1300.0,33.5,2.025
1600.0,50.0,2.0625
1230.0,28.55,2.065
1030.0,16.05,2.0685000000000002
1266.5,29.0,2.0885
1766.5,54.0,2.134
1700.0,47.5,2.2115
1300.0,22.5,2.2925
1600.0,37.5,2.3305
1400.0,29.15,2.338
1400.0,29.15,2.3445
1600.0,35.0,2.3595
1450.0,22.5,2.4425
1750.0,37.5,2.5175
2005.0,50.0,2.5445
1805.0,37.5,2.5869999999999997
1500.0,20.0,2.62
1400.0,15.0,2.6475
1600.0,20.0,2.795
1900.0,29.0,2.9375
1700.0,21.5,2.9575
2700.0,55.0,3.0775
3000.0,62.5,3.215
2100.0,25.0,3.3025
